PA0001	AAG03391
PA1115	AAG04504
PA1116	AAG04505
PA1117	AAG04506
PA1118	AAG04507
PA1119	AAG04508
PA1120	AAG04509
PA1121	AAG04510
PA1122	AAG04511
PA1123	AAG04512
PA1124	AAG04513
PA1125	AAG04514
PA1126	AAG04515
PA1127	AAG04516
PA1128	AAG04517
PA1129	AAG04518
PA1130	AAG04519
PA1131	AAG04520
PA1132	AAG04521
PA1133	AAG04522
PA1134	AAG04523
PA1135	AAG04524
PA1136	AAG04525
PA1137	AAG04526
PA1138	AAG04527
PA1139	AAG04528
PA1140	AAG04529
PA1141	AAG04530
PA1142	AAG04531
PA1143	AAG04532
PA1144	AAG04533
PA1145	AAG04534
PA1146	AAG04535
PA1147	AAG04536
PA1148	AAG04537
PA1149	AAG04538
PA1150	AAG04539
PA1151	AAG04540
PA1152	AAG04541
PA1153	AAG04542
PA1154	AAG04543
PA1155	AAG04544
PA1156	AAG04545
PA1157	AAG04546
PA1158	AAG04547
PA1159	AAG04548
PA1160	AAG04549
PA1161	AAG04550
PA1162	AAG04551
PA1163	AAG04552
PA1164	AAG04553
PA1165	AAG04554
PA1166	AAG04555
PA1167	AAG04556
PA1168	AAG04557
PA1169	AAG04558
PA1170	AAG04559
PA1171	AAG04560
PA1172	AAG04561
PA1173	AAG04562
PA1174	AAG04563
PA1175	AAG04564
PA1176	AAG04565
PA1177	AAG04566
PA1178	AAG04567
PA1179	AAG04568
PA1180	AAG04569
PA1181	AAG04570
PA1182	AAG04571
PA1183	AAG04572
PA1184	AAG04573
PA1185	AAG04574
PA1186	AAG04575
PA1187	AAG04576
PA1188	AAG04577
PA1189	AAG04578
PA1190	AAG04579
PA1191	AAG04580
PA1192	AAG04581
PA1193	AAG04582
PA1194	AAG04583
PA1195	AAG04584
PA1196	AAG04585
PA1197	AAG04586
PA1198	AAG04587
PA1199	AAG04588
PA1200	AAG04589
PA1201	AAG04590
PA1202	AAG04591
PA1203	AAG04592
PA1204	AAG04593
PA1205	AAG04594
PA1206	AAG04595
PA1207	AAG04596
PA1208	AAG04597
PA1209	AAG04598
PA1210	AAG04599
PA1211	AAG04600
PA1212	AAG04601
PA1213	AAG04602
PA1214	AAG04603
PA1215	AAG04604
PA1216	AAG04605
PA1217	AAG04606
PA1218	AAG04607
PA1219	AAG04608
PA1220	AAG04609
PA1221	AAG04610
PA1222	AAG04611
PA1223	AAG04612
PA1224	AAG04613
PA1225	AAG04614
PA1226	AAG04615
PA1227	AAG04616
PA1228	AAG04617
PA1229	AAG04618
PA1230	AAG04619
PA1231	AAG04620
PA1232	AAG04621
PA1233	AAG04622
PA1234	AAG04623
PA1235	AAG04624
PA1236	AAG04625
PA1237	AAG04626
PA1238	AAG04627
PA1239	AAG04628
PA1240	AAG04629
PA1241	AAG04630
PA1242	AAG04631
PA1243	AAG04632
PA1244	AAG04633
EBG00001435519	EBT00001813387
PA1245	AAG04634
PA1246	AAG04635
PA1247	AAG04636
PA1248	AAG04637
PA1249	AAG04638
PA1250	AAG04639
PA1251	AAG04640
PA1252	AAG04641
PA1253	AAG04642
PA1254	AAG04643
PA1255	AAG04644
PA1256	AAG04645
PA1257	AAG04646
PA1258	AAG04647
PA1259	AAG04648
PA1260	AAG04649
PA1261	AAG04650
PA1262	AAG04651
PA1263	AAG04652
PA1264	AAG04653
PA1265	AAG04654
PA1266	AAG04655
PA1267	AAG04656
PA1268	AAG04657
PA1269	AAG04658
PA1270	AAG04659
PA1271	AAG04660
PA1272	AAG04661
PA1273	AAG04662
PA1274	AAG04663
PA1275	AAG04664
PA1276	AAG04665
PA1277	AAG04666
PA1278	AAG04667
PA1279	AAG04668
PA1280	AAG04669
PA1281	AAG04670
PA1282	AAG04671
PA1283	AAG04672
PA1284	AAG04673
PA1285	AAG04674
PA1286	AAG04675
PA1287	AAG04676
PA1288	AAG04677
PA1289	AAG04678
PA1290	AAG04679
PA1291	AAG04680
PA1292	AAG04681
PA1293	AAG04682
PA1294	AAG04683
PA1295	AAG04684
PA1296	AAG04685
PA1297	AAG04686
PA1298	AAG04687
PA1299	AAG04688
PA1300	AAG04689
PA1301	AAG04690
PA1302	AAG04691
PA1303	AAG04692
PA1304	AAG04693
PA1305	AAG04694
PA1306	AAG04695
PA1307	AAG04696
PA1308	AAG04697
PA1309	AAG04698
PA1310	AAG04699
PA1311	AAG04700
PA1312	AAG04701
PA1313	AAG04702
PA1314	AAG04703
PA1315	AAG04704
PA1316	AAG04705
PA1317	AAG04706
PA1318	AAG04707
PA1319	AAG04708
PA1320	AAG04709
PA1321	AAG04710
PA1322	AAG04711
PA1323	AAG04712
PA1324	AAG04713
PA1324.1	PA1324.1-1
EBG00001435530	EBT00001813425
PA1325	AAG04714
PA1326	AAG04715
PA1327	AAG04716
PA1328	AAG04717
PA1329	AAG04718
PA1330	AAG04719
PA1331	AAG04720
PA1332	AAG04721
PA1333	AAG04722
PA1334	AAG04723
PA1335	AAG04724
PA1336	AAG04725
PA1337	AAG04726
PA1338	AAG04727
PA1339	AAG04728
PA1340	AAG04729
PA1341	AAG04730
PA1342	AAG04731
PA1343	AAG04732
PA1344	AAG04733
PA1345	AAG04734
PA1346	AAG04735
PA1347	AAG04736
PA1348	AAG04737
PA1349	AAG04738
PA1350	AAG04739
PA1351	AAG04740
PA1352	AAG04741
PA1353	AAG04742
PA1354	AAG04743
PA1355	AAG04744
PA1356	AAG04745
PA1357	AAG04746
PA1358	AAG04747
PA1359	AAG04748
PA1360	AAG04749
PA1361	AAG04750
PA1362	AAG04751
PA1363	AAG04752
PA1364	AAG04753
PA1365	AAG04754
PA1366	AAG04755
PA1367	AAG04756
PA1368	AAG04757
PA1369	AAG04758
PA1370	AAG04759
PA1371	AAG04760
PA1372	AAG04761
PA1373	AAG04762
PA1374	AAG04763
PA1375	AAG04764
PA1376	AAG04765
PA1377	AAG04766
PA1378	AAG04767
PA1379	AAG04768
PA1380	AAG04769
PA1381	AAG04770
PA1382	AAG04771
PA1383	AAG04772
PA1384	AAG04773
PA1385	AAG04774
PA1386	AAG04775
PA1387	AAG04776
PA1388	AAG04777
PA1389	AAG04778
PA1390	AAG04779
PA1391	AAG04780
PA1392	AAG04781
PA1393	AAG04782
PA1394	AAG04783
PA1395	AAG04784
PA1396	AAG04785
PA1397	AAG04786
PA1398	AAG04787
PA1399	AAG04788
PA1400	AAG04789
PA1401	AAG04790
PA1402	AAG04791
PA1403	AAG04792
PA1404	AAG04793
PA1405	AAG04794
PA1406	AAG04795
PA1407	AAG04796
PA1408	AAG04797
PA1409	AAG04798
PA1410	AAG04799
PA1411	AAG04800
PA1412	AAG04801
PA1413	AAG04802
PA1414	AAG04803
PA1415	AAG04804
PA1416	AAG04805
PA1417	AAG04806
PA1418	AAG04807
PA1419	AAG04808
PA1420	AAG04809
PA1421	AAG04810
PA1422	AAG04811
PA1423	AAG04812
PA1424	AAG04813
PA1425	AAG04814
PA1426	AAG04815
PA1427	AAG04816
PA1428	AAG04817
PA1429	AAG04818
PA1430	AAG04819
PA1431	AAG04820
PA1432	AAG04821
PA1433	AAG04822
PA1434	AAG04823
PA1435	AAG04824
PA1436	AAG04825
PA1437	AAG04826
PA1438	AAG04827
PA1439	AAG04828
PA1440	AAG04829
PA1441	AAG04830
PA1442	AAG04831
PA1443	AAG04832
PA1444	AAG04833
PA1445	AAG04834
PA1446	AAG04835
PA1447	AAG04836
PA1448	AAG04837
PA1449	AAG04838
PA1450	AAG04839
PA1451	AAG04840
PA1452	AAG04841
PA1453	AAG04842
PA1454	AAG04843
PA1455	AAG04844
PA1456	AAG04845
PA1457	AAG04846
PA1458	AAG04847
PA1459	AAG04848
PA1460	AAG04849
PA1461	AAG04850
PA1462	AAG04851
PA1463	AAG04852
PA1464	AAG04853
PA1465	AAG04854
PA1466	AAG04855
PA1467	AAG04856
PA1468	AAG04857
PA1469	AAG04858
PA1470	AAG04859
PA1471	AAG04860
PA1472	AAG04861
PA1473	AAG04862
PA1474	AAG04863
PA1475	AAG04864
PA1476	AAG04865
PA1477	AAG04866
PA1478	AAG04867
PA1479	AAG04868
PA1480	AAG04869
PA1481	AAG04870
PA1482	AAG04871
PA1483	AAG04872
PA1484	AAG04873
PA1485	AAG04874
PA1486	AAG04875
PA1487	AAG04876
PA1488	AAG04877
PA1489	AAG04878
PA1490	AAG04879
PA1491	AAG04880
PA1492	AAG04881
PA1493	AAG04882
PA1494	AAG04883
PA1495	AAG04884
PA1496	AAG04885
PA1497	AAG04886
PA1498	AAG04887
PA1499	AAG04888
PA1500	AAG04889
PA1501	AAG04890
PA1502	AAG04891
PA1503	AAG04892
PA1504	AAG04893
PA1505	AAG04894
PA1506	AAG04895
PA1507	AAG04896
PA1508	AAG04897
PA1509	AAG04898
PA1510	AAG04899
PA1511	AAG04900
PA1512	AAG04901
PA1513	AAG04902
PA1514	AAG04903
PA1515	AAG04904
PA1516	AAG04905
PA1517	AAG04906
PA1518	AAG04907
PA1519	AAG04908
PA1520	AAG04909
PA1521	AAG04910
PA1522	AAG04911
PA1523	AAG04912
PA1524	AAG04913
PA1525	AAG04914
PA1526	AAG04915
PA1527	AAG04916
PA1528	AAG04917
PA1529	AAG04918
PA1530	AAG04919
PA1530.1	PA1530.1-1
EBG00001435404	EBT00001813453
EBG00001435449	EBT00001813415
PA1531	AAG04920
PA1532	AAG04921
PA1533	AAG04922
PA1534	AAG04923
PA1535	AAG04924
PA1536	AAG04925
PA1537	AAG04926
PA1538	AAG04927
PA1539	AAG04928
PA1540	AAG04929
PA1541	AAG04930
PA1542	AAG04931
PA1543	AAG04932
PA1544	AAG04933
PA1545	AAG04934
PA1546	AAG04935
PA1547	AAG04936
PA1548	AAG04937
PA1549	AAG04938
PA1550	AAG04939
PA1551	AAG04940
PA1552	AAG04941
PA1552.1	ADN93059
PA1553	AAG04942
PA1554	AAG04943
PA1555	AAG04944
PA1555.1	ADN93060
PA1556	AAG04945
PA1557	AAG04946
PA1558	AAG04947
PA1559	AAG04948
PA1560	AAG04949
PA1561	AAG04950
PA1562	AAG04951
PA1563	AAG04952
PA1564	AAG04953
PA1565	AAG04954
PA1566	AAG04955
PA1567	AAG04956
PA1568	AAG04957
PA1569	AAG04958
PA1570	AAG04959
PA1571	AAG04960
PA1572	AAG04961
PA1573	AAG04962
PA1574	AAG04963
PA1575	AAG04964
PA1576	AAG04965
PA1577	AAG04966
PA1578	AAG04967
PA1579	AAG04968
PA1580	AAG04969
PA1581	AAG04970
PA1582	AAG04971
PA1583	AAG04972
PA1584	AAG04973
PA1585	AAG04974
PA1586	AAG04975
PA1587	AAG04976
PA1588	AAG04977
PA1589	AAG04978
PA1590	AAG04979
PA1591	AAG04980
PA1592	AAG04981
PA1593	AAG04982
PA1594	AAG04983
PA1595	AAG04984
PA1596	AAG04985
PA1597	AAG04986
PA1598	AAG04987
PA1599	AAG04988
PA1600	AAG04989
PA1601	AAG04990
PA1602	AAG04991
PA1603	AAG04992
PA1604	AAG04993
PA1605	AAG04994
PA1606	AAG04995
PA1607	AAG04996
PA1608	AAG04997
PA1609	AAG04998
PA1610	AAG04999
PA1611	AAG05000
PA1612	AAG05001
PA1613	AAG05002
PA1614	AAG05003
PA1615	AAG05004
PA1616	AAG05005
PA1617	AAG05006
PA1618	AAG05007
PA1619	AAG05008
PA1620	AAG05009
PA1621	AAG05010
PA1622	AAG05011
PA1623	AAG05012
PA1624	AAG05013
PA1625	AAG05014
PA1626	AAG05015
PA1627	AAG05016
PA1628	AAG05017
PA1629	AAG05018
PA1630	AAG05019
PA1631	AAG05020
PA1632	AAG05021
PA1633	AAG05022
PA1634	AAG05023
PA1635	AAG05024
PA1636	AAG05025
PA1637	AAG05026
PA1638	AAG05027
PA1639	AAG05028
PA1640	AAG05029
PA1641	AAG05030
PA1642	AAG05031
PA1643	AAG05032
PA1644	AAG05033
PA1645	AAG05034
PA1646	AAG05035
PA1647	AAG05036
PA1648	AAG05037
PA1649	AAG05038
PA1650	AAG05039
PA1651	AAG05040
PA1652	AAG05041
PA1653	AAG05042
PA1654	AAG05043
PA1655	AAG05044
PA1656	AAG05045
PA1657	AAG05046
PA1658	AAG05047
PA1659	AAG05048
EBG00001435428	EBT00001813465
PA1660	AAG05049
PA1661	AAG05050
PA1662	AAG05051
PA1663	AAG05052
PA1664	AAG05053
PA1665	AAG05054
PA1666	AAG05055
PA1667	AAG05056
PA1668	AAG05057
PA1669	AAG05058
PA1670	AAG05059
PA1671	AAG05060
PA1672	AAG05061
PA1673	AAG05062
PA1674	AAG05063
PA1675	AAG05064
PA1676	AAG05065
PA1677	AAG05066
PA1678	AAG05067
PA1679	AAG05068
PA1680	AAG05069
PA1681	AAG05070
PA1682	AAG05071
PA1683	AAG05072
PA1684	AAG05073
PA1685	AAG05074
PA1686	AAG05075
PA1687	AAG05076
PA1688	AAG05077
PA1689	AAG05078
PA1690	AAG05079
PA1691	AAG05080
PA1692	AAG05081
PA1693	AAG05082
PA1694	AAG05083
PA1695	AAG05084
PA1696	AAG05085
PA1697	AAG05086
PA1698	AAG05087
PA1699	AAG05088
PA1700	AAG05089
PA1701	AAG05090
PA1702	AAG05091
PA1703	AAG05092
PA1704	AAG05093
PA1705	AAG05094
PA1706	AAG05095
PA1707	AAG05096
PA1708	AAG05097
PA1709	AAG05098
PA1710	AAG05099
PA1711	AAG05100
PA1712	AAG05101
PA1713	AAG05102
PA1714	AAG05103
PA1715	AAG05104
PA1716	AAG05105
PA1717	AAG05106
PA1718	AAG05107
PA1719	AAG05108
PA1720	AAG05109
PA1721	AAG05110
PA1722	AAG05111
PA1723	AAG05112
PA1724	AAG05113
PA1725	AAG05114
PA1726	AAG05115
PA1727	AAG05116
PA1728	AAG05117
PA1729	AAG05118
PA1730	AAG05119
PA1731	AAG05120
PA1732	AAG05121
PA1733	AAG05122
PA1734	AAG05123
PA1735	AAG05124
PA1736	AAG05125
PA1737	AAG05126
PA1738	AAG05127
PA1739	AAG05128
PA1740	AAG05129
PA1741	AAG05130
PA1742	AAG05131
PA1743	AAG05132
PA1744	AAG05133
PA1745	AAG05134
PA1746	AAG05135
PA1747	AAG05136
PA1748	AAG05137
PA1749	AAG05138
PA1750	AAG05139
PA1751	AAG05140
PA1752	AAG05141
PA1753	AAG05142
PA1754	AAG05143
PA1755	AAG05144
PA1756	AAG05145
PA1757	AAG05146
PA1758	AAG05147
PA1759	AAG05148
PA1760	AAG05149
PA1761	AAG05150
PA1762	AAG05151
PA1763	AAG05152
PA1764	AAG05153
PA1765	AAG05154
PA1766	AAG05155
PA1767	AAG05156
PA1768	AAG05157
PA1769	AAG05158
PA1770	AAG05159
PA1771	AAG05160
PA1772	AAG05161
PA1773	AAG05162
PA1774	AAG05163
PA1775	AAG05164
PA1776	AAG05165
PA1777	AAG05166
PA1778	AAG05167
PA1779	AAG05168
PA1780	AAG05169
PA1781	AAG05170
EBG00001435421	EBT00001813401
PA1781.1	PA1781.1-1
PA1782	AAG05171
PA1783	AAG05172
PA1784	AAG05173
PA1785	AAG05174
PA1786	AAG05175
PA1787	AAG05176
PA1788	AAG05177
PA1789	AAG05178
PA1790	AAG05179
PA1791	AAG05180
PA1792	AAG05181
PA1793	AAG05182
PA1794	AAG05183
PA1795	AAG05184
PA1796	AAG05185
EBG00001435414	EBT00001813505
PA1796.1	PA1796.1-1
EBG00001435456	EBT00001813393
PA1796.2	PA1796.2-1
PA1796.3	PA1796.3-1
EBG00001435441	EBT00001813426
EBG00001435479	EBT00001813432
PA1796.4	PA1796.4-1
PA1797	AAG05186
PA1798	AAG05187
PA1799	AAG05188
PA1800	AAG05189
PA1801	AAG05190
PA1802	AAG05191
PA1803	AAG05192
PA1804	AAG05193
EBG00001435528	EBT00001813380
EBG00001435512	EBT00001813427
PA1804.1	PA1804.1-1
PA1805	AAG05194
PA1806	AAG05195
PA1807	AAG05196
PA1808	AAG05197
PA1809	AAG05198
PA1810	AAG05199
PA1811	AAG05200
PA1812	AAG05201
PA1813	AAG05202
PA1814	AAG05203
PA1815	AAG05204
PA1816	AAG05205
PA1817	AAG05206
PA1818	AAG05207
PA1819	AAG05208
PA1820	AAG05209
PA1821	AAG05210
PA1822	AAG05211
PA1823	AAG05212
PA1824	AAG05213
PA1825	AAG05214
PA1826	AAG05215
PA1827	AAG05216
PA1828	AAG05217
PA1829	AAG05218
PA1830	AAG05219
PA1831	AAG05220
PA1832	AAG05221
PA1833	AAG05222
PA1834	AAG05223
PA1835	AAG05224
PA1836	AAG05225
PA1837	AAG05226
PA1838	AAG05227
PA1839	AAG05228
PA1840	AAG05229
PA1841	AAG05230
PA1842	AAG05231
PA1843	AAG05232
PA1844	AAG05233
PA1845	AAG05234
PA1846	AAG05235
PA1847	AAG05236
PA1848	AAG05237
PA1849	AAG05238
PA1850	AAG05239
PA1851	AAG05240
PA1852	AAG05241
PA1853	AAG05242
PA1854	AAG05243
PA1855	AAG05244
PA1856	AAG05245
PA1857	AAG05246
PA1858	AAG05247
PA1859	AAG05248
PA1860	AAG05249
PA1861	AAG05250
PA1862	AAG05251
PA1863	AAG05252
PA1864	AAG05253
PA1865	AAG05254
PA1866	AAG05255
PA1867	AAG05256
PA1868	AAG05257
PA1869	AAG05258
PA1870	AAG05259
PA1871	AAG05260
PA1872	AAG05261
PA1873	AAG05262
PA1874	AAG05263
PA1875	AAG05264
PA1876	AAG05265
PA1877	AAG05266
PA1878	AAG05267
PA1879	AAG05268
PA1880	AAG05269
PA1881	AAG05270
PA1882	AAG05271
PA1883	AAG05272
PA1884	AAG05273
PA1885	AAG05274
PA1886	AAG05275
PA1887	AAG05276
PA1888	AAG05277
PA1889	AAG05278
PA1890	AAG05279
PA1891	AAG05280
PA1892	AAG05281
PA1893	AAG05282
PA1894	AAG05283
PA1895	AAG05284
PA1896	AAG05285
PA1897	AAG05286
PA1898	AAG05287
PA1899	AAG05288
PA1900	AAG05289
PA1901	AAG05290
PA1902	AAG05291
PA1903	AAG05292
PA1904	AAG05293
PA1905	AAO42617
PA1906	AAG05294
PA1907	AAG05295
PA1908	AAG05296
PA1909	AAG05297
PA1910	AAG05298
PA1911	AAG05299
PA1912	AAG05300
PA1913	AAG05301
PA1914	AAG05302
PA1915	AAG05303
PA1916	AAG05304
PA1917	AAG05305
PA1918	AAG05306
PA1919	AAG05307
PA1920	AAG05308
PA1921	AAG05309
PA1922	AAG05310
PA1923	AAG05311
PA1924	AAG05312
PA1925	AAG05313
PA1926	AAG05314
PA1927	AAG05315
PA1928	AAG05316
PA1929	AAG05317
PA1930	AAG05318
PA1931	AAG05319
PA1932	AAG05320
PA1933	AAG05321
PA1934	AAG05322
PA1935	AAG05323
PA1936	AAG05324
PA1937	AAG05325
PA1938	AAG05326
PA1939	AAG05327
PA1940	AAG05328
PA1941	AAG05329
PA1942	AAG05330
PA1943	AAG05331
PA1944	AAG05332
PA1945	AAG05333
PA1946	AAG05334
PA1947	AAG05335
PA1948	AAG05336
PA1949	AAG05337
PA1950	AAG05338
PA1951	AAG05339
PA1952	AAG05340
PA1953	AAG05341
PA1954	AAG05342
PA1955	AAG05343
PA1956	AAG05344
PA1957	AAG05345
PA1958	AAG05346
PA1959	AAG05347
PA1960	AAG05348
PA1961	AAG05349
PA1962	AAG05350
PA1963	AAG05351
PA1964	AAG05352
PA1965	AAG05353
PA1966	AAG05354
PA1967	AAG05355
PA1968	AAG05356
PA1969	AAG05357
PA1970	AAG05358
PA1971	AAG05359
PA1972	AAG05360
PA1973	AAG05361
PA1974	AAG05362
PA1975	AAG05363
PA1976	AAG05364
PA1977	AAG05365
PA1978	AAG05366
PA1979	AAG05367
PA1980	AAG05368
PA1981	AAG05369
PA1982	AAG05370
PA1983	AAG05371
PA1984	AAG05372
PA1985	AAG05373
PA1986	AAG05374
PA1987	AAG05375
PA1988	AAG05376
PA1989	AAG05377
PA1990	AAG05378
PA1991	AAG05379
PA1992	AAG05380
PA1993	AAG05381
PA1994	AAG05382
PA1995	AAG05383
PA1996	AAG05384
PA1997	AAG05385
PA1998	AAG05386
PA1999	AAG05387
PA2000	AAG05388
PA2001	AAG05389
PA2002	AAG05390
PA2003	AAG05391
PA2004	AAG05392
PA2005	AAG05393
PA2006	AAG05394
PA2007	AAG05395
PA2008	AAG05396
PA2009	AAG05397
PA2010	AAG05398
PA2011	AAG05399
PA2012	AAG05400
PA2013	AAG05401
PA2014	AAG05402
PA2015	AAG05403
PA2016	AAG05404
PA2017	AAG05405
PA2018	AAG05406
PA2019	AAG05407
PA2020	AAG05408
PA2021	AAG05409
PA2022	AAG05410
PA2023	AAG05411
PA2024	AAG05412
PA2025	AAG05413
PA2026	AAG05414
PA2027	AAG05415
PA2028	AAG05416
PA2029	AAG05417
PA2030	AAG05418
PA2031	AAG05419
PA2032	AAG05420
PA2033	AAG05421
PA2034	AAG05422
PA2035	AAG05423
PA2036	AAG05424
PA2037	AAG05425
PA2038	AAG05426
PA2039	AAG05427
PA2040	AAG05428
PA2041	AAG05429
PA2042	AAG05430
PA2043	AAG05431
PA2044	AAG05432
PA2045	AAG05433
PA2046	AAG05434
PA2047	AAG05435
PA2048	AAG05436
PA2049	AAG05437
PA2050	AAG05438
PA2051	AAG05439
PA2052	AAG05440
PA2053	AAG05441
PA2054	AAG05442
PA2055	AAG05443
PA2056	AAG05444
PA2057	AAG05445
PA2058	AAG05446
PA2059	AAG05447
PA2060	AAG05448
PA2061	AAG05449
PA2062	AAG05450
PA2063	AAG05451
PA2064	AAG05452
PA2065	AAG05453
PA2066	AAG05454
PA2067	AAG05455
PA2068	AAG05456
PA2069	AAG05457
PA2070	AAG05458
PA2071	AAG05459
PA2072	AAG05460
PA2073	AAG05461
PA2074	AAG05462
PA2075	AAG05463
PA2076	AAG05464
PA2077	AAG05465
PA2078	AAG05466
PA2079	AAG05467
PA2080	AAG05468
PA2081	AAG05469
PA2082	AAG05470
PA2083	AAG05471
PA2084	AAG05472
PA2085	AAG05473
PA2086	AAG05474
PA2087	AAG05475
PA2088	AAG05476
PA2089	AAG05477
PA2090	AAG05478
PA2091	AAG05479
PA2092	AAG05480
PA2093	AAG05481
PA2094	AAG05482
PA2095	AAG05483
PA2096	AAG05484
PA2097	AAG05485
PA2098	AAG05486
PA2099	AAG05487
PA2100	AAG05488
PA2101	AAG05489
PA2102	AAG05490
PA2103	AAG05491
PA2104	AAG05492
PA2105	AAG05493
PA2106	AAG05494
PA2107	AAG05495
PA2108	AAG05496
PA2109	AAG05497
PA2110	AAG05498
PA2111	AAG05499
PA2112	AAG05500
PA2113	AAG05501
PA2114	AAG05502
PA2115	AAG05503
PA2116	AAG05504
PA2117	AAG05505
PA2118	AAG05506
PA2119	AAG05507
PA2120	AAG05508
PA2121	AAG05509
PA2122	AAG05510
PA2123	AAG05511
PA2124	AAG05512
PA2125	AAG05513
PA2126	AAG05514
PA2127	AAG05515
PA2128	AAG05516
PA2129	AAG05517
PA2130	AAG05518
PA2131	AAG05519
PA2132	AAG05520
PA2133	AAG05521
PA2134	AAG05522
PA2135	AAG05523
PA2136	AAG05524
PA2137	AAG05525
PA2138	AAG05526
PA2139	AAG05527
PA2140	AAG05528
PA2141	AAG05529
PA2142	AAG05530
PA2143	AAG05531
PA2144	AAG05532
PA2145	AAG05533
PA2146	AAG05534
PA2147	AAG05535
PA2148	AAG05536
PA2149	AAG05537
PA2150	AAG05538
PA2151	AAG05539
PA2152	AAG05540
PA2153	AAG05541
PA2154	AAG05542
PA2155	AAG05543
PA2156	AAG05544
PA2157	AAG05545
PA2158	AAG05546
PA2159	AAG05547
PA2160	AAG05548
PA2161	AAG05549
PA2162	AAG05550
PA2163	AAG05551
PA2164	AAG05552
PA2165	AAG05553
PA2166	AAG05554
PA2167	AAG05555
PA2168	AAG05556
PA2169	AAG05557
PA2170	AAG05558
PA2171	AAG05559
PA2172	AAG05560
PA2173	AAG05561
PA2174	AAG05562
PA2175	AAG05563
PA2176	AAG05564
PA2177	AAG05565
PA2178	AAG05566
PA2179	AAG05567
PA2180	AAG05568
PA2181	AAG05569
PA2182	AAG05570
PA2183	AAG05571
PA2184	AAG05572
PA2185	AAG05573
PA2186	AAG05574
PA2187	AAG05575
PA2188	AAG05576
PA2189	AAG05577
PA2190	AAG05578
PA2191	AAG05579
PA2192	AAG05580
PA2193	AAG05581
PA2194	AAG05582
PA2195	AAG05583
PA2196	AAG05584
PA2197	AAG05585
PA2198	AAG05586
PA2199	AAG05587
PA2200	AAG05588
PA2201	AAG05589
PA2202	AAG05590
PA2203	AAG05591
PA2204	AAG05592
PA2205	AAG05593
PA2206	AAG05594
PA2207	AAG05595
PA2208	AAG05596
PA2209	AAG05597
PA2210	AAG05598
PA2211	AAG05599
PA2212	AAG05600
PA2213	AAG05601
PA2214	AAG05602
PA2215	AAG05603
PA2216	AAG05604
PA2217	AAG05605
PA2218	AAG05606
PA2219	AAG05607
PA2220	AAG05608
PA2221	AAG05609
PA2222	AAG05610
PA2223	AAG05611
PA2224	AAG05612
PA2225	AAG05613
PA2226	AAG05614
PA2227	AAG05615
PA2228	AAG05616
PA2229	AAG05617
PA2230	AAG05618
PA2231	AAG05619
PA2232	AAG05620
PA2233	AAG05621
PA2234	AAG05622
PA2235	AAG05623
PA2236	AAG05624
PA2237	AAG05625
PA2238	AAG05626
PA2239	AAG05627
PA2240	AAG05628
PA2241	AAG05629
PA2242	AAG05630
PA2243	AAG05631
PA2244	AAG05632
PA2245	AAG05633
PA2246	AAG05634
PA2247	AAG05635
PA2248	AAG05636
PA2249	AAG05637
PA2250	AAG05638
PA2251	AAG05639
PA2252	AAG05640
PA2253	AAG05641
PA2254	AAG05642
PA2255	AAG05643
PA2256	AAG05644
PA2257	AAG05645
PA2258	AAG05646
PA2259	AAG05647
PA2260	AAG05648
PA2261	AAG05649
PA2262	AAG05650
PA2263	AAG05651
PA2264	AAG05652
PA2265	AAG05653
PA2266	AAG05654
PA2267	AAG05655
PA2268	AAG05656
